Avg_Transaction_Length,Time_ms,Peak_RAM_MB,Pattern_Count
5,6.6411999999999995,4.881338119506836,49
10,8.2234,12.846881866455078,100
15,10.7443,14.60416030883789,100
20,15.439100000000002,16.525012969970703,102
25,475.48629999999997,66.15680408477783,5047
